timestamp,node,socket,core,temperature,frequency,cpu_usage,cpu_power,memory_power,cpu_energy,memory_energy,hour,day,month,temperature_lag_1,temperature_lag_2,temperature_lag_3,frequency_lag_1,cpu_usage_lag_1,power_lag_1,energy_lag_1,temperature_roll3,frequency_roll3,cpu_usage_roll3,power_roll3,energy_roll3,temperature_diff,frequency_diff,cpu_usage_diff,power_diff,energy_diff
2026-07-17 12:55:01,cn21,0,0,24.0,1707.59,0.0,34.8681,29.0424,202162.00189208984,173946.99713134766,12,17,7,25.0,25.0,25.0,1707.6,0.02,34.8462,197531.0249633789,24.666666666666668,1707.6033333333332,0.0066666666666666,34.90293333333333,197531.61861165368,-1.0,-0.0099999999999909,-0.02,0.0218999999999951,4630.9769287109375
2026-07-17 13:00:01,cn21,0,0,25.0,1707.58,0.0,34.9674,29.8072,206739.4534912109,179390.4637451172,13,17,7,24.0,25.0,25.0,1707.59,0.0,34.8681,202162.00189208984,24.666666666666668,1707.59,0.0066666666666666,34.8939,202144.1601155599,1.0,-0.0099999999999909,0.0,0.0992999999999995,4577.451599121065
2026-07-17 13:05:01,cn21,0,0,25.0,1707.57,0.0,35.4433,30.0971,211397.2789916992,184880.8420410156,13,17,7,25.0,24.0,25.0,1707.58,0.0,34.9674,206739.4534912109,24.666666666666668,1707.58,0.0,35.09293333333333,206766.24479166663,0.0,-0.0099999999999909,0.0,0.4759000000000029,4657.825500488281
2026-07-17 13:10:01,cn21,0,0,25.0,1707.56,0.02,35.2719,29.7034,216086.5211791992,190422.0256958008,13,17,7,25.0,25.0,24.0,1707.57,0.0,35.4433,211397.2789916992,25.0,1707.5699999999997,0.0066666666666666,35.227533333333334,211407.75122070312,0.0,-0.0099999999999909,0.02,-0.1713999999999984,4689.2421875
2026-07-17 13:15:02,cn21,0,0,25.0,1707.55,0.06,34.6798,28.8443,220732.96417236328,195838.36004638672,13,17,7,25.0,25.0,25.0,1707.56,0.02,35.2719,216086.5211791992,25.0,1707.5599999999995,0.0266666666666666,35.13166666666667,216072.25478108725,0.0,-0.0099999999999909,0.0399999999999999,-0.5921000000000021,4646.442993164092
2026-07-17 13:20:01,cn21,0,0,25.0,1707.53,0.0,35.1388,29.4458,225305.08184814453,201211.57690429688,13,17,7,25.0,25.0,25.0,1707.55,0.06,34.6798,220732.96417236328,25.0,1707.5466666666664,0.0266666666666666,35.030166666666666,220708.189066569,0.0,-0.0199999999999818,-0.06,0.4590000000000032,4572.11767578125
2026-07-17 13:25:01,cn21,0,0,25.0,1707.52,0.0,36.2107,29.5624,229881.3599853516,206474.880859375,13,17,7,25.0,25.0,25.0,1707.53,0.0,35.1388,225305.08184814453,25.0,1707.5333333333335,0.02,35.3431,225306.46866861975,0.0,-0.0099999999999909,0.0,1.0718999999999994,4576.27813720706
2026-07-17 13:30:01,cn21,0,0,25.0,1707.51,0.0,35.0342,29.9062,234479.9656982422,211797.1298828125,13,17,7,25.0,25.0,25.0,1707.52,0.0,36.2107,229881.3599853516,25.0,1707.5199999999998,0.0,35.46123333333333,229888.80251057944,0.0,-0.0099999999999909,0.0,-1.1765000000000043,4598.605712890596
2026-07-17 13:35:01,cn21,0,0,25.0,1707.5,0.0,35.1049,30.3339,239163.43072509769,217132.3243408203,13,17,7,25.0,25.0,25.0,1707.51,0.0,35.0342,234479.9656982422,25.0,1707.51,0.0,35.449933333333334,234508.25213623047,0.0,-0.0099999999999909,0.0,0.0707000000000022,4683.465026855498
2026-07-17 13:40:01,cn21,0,0,24.0,1707.49,0.0,35.2665,30.1742,243793.6761474609,222641.6396484375,13,17,7,25.0,25.0,25.0,1707.5,0.0,35.1049,239163.43072509769,24.666666666666668,1707.5,0.0,35.1352,239145.6908569336,-1.0,-0.0099999999999909,0.0,0.1615999999999999,4630.245422363223
